league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Manchester City,Max Alleyne,ENG,DF,20-269,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester City,Nathan Aké,NED,DF,31-057,1995,14,4,495,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester City,Nico O’Reilly,ENG,"DF,MF",21-026,2005,29,24,2196,24.4,5,3,8,5,0,0,4,0,0.2,0.12,0.33,0.2,0.33
ENG-Premier League,2526,Manchester City,Nicolás González,ESP,MF,24-103,2002,21,15,1376,15.3,1,0,1,1,0,0,6,0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2526,Manchester City,Omar Marmoush,EGY,"FW,MF",27-068,1999,17,7,572,6.4,1,3,4,1,0,0,2,0,0.16,0.47,0.63,0.16,0.63
ENG-Premier League,2526,Manchester City,Oscar Bobb,NOR,"MF,FW",22-278,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19
ENG-Premier League,2526,Manchester City,Phil Foden,ENG,MF,25-323,2000,27,21,1826,20.3,7,3,10,7,0,0,4,0,0.35,0.15,0.49,0.35,0.49
ENG-Premier League,2526,Manchester City,Rayan Aït-Nouri,ALG,DF,24-314,2001,14,10,806,9.0,0,2,2,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2526,Manchester City,Rayan Cherki,FRA,MF,22-242,2003,26,15,1383,15.4,3,10,13,3,0,0,1,0,0.2,0.65,0.85,0.2,0.85
ENG-Premier League,2526,Manchester City,Rico Lewis,ENG,DF,21-146,2004,10,3,317,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28
ENG-Premier League,2526,Manchester City,Rodri,ESP,MF,29-298,1996,19,15,1334,14.8,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2526,Manchester City,Rúben Dias,POR,DF,28-337,1997,25,23,2051,22.8,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2526,Manchester City,Sávio,BRA,MF,22-006,2004,18,5,588,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2526,Manchester City,Tijjani Reijnders,NED,MF,27-261,1998,26,17,1496,16.6,5,2,7,5,0,0,2,0,0.3,0.12,0.42,0.3,0.42
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,28-002,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Amad Diallo,CIV,MF,23-279,2002,26,23,1986,22.1,2,2,4,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18
